神社名稱,住所,URL,緯度,経度,電話番号
白山神社（はくさんじんじゃ）,福井県福井市黒丸城町（黒丸町）１３−１９,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_151518,36.104428,136.191108,-
八幡神社（はちまんじんじゃ）,福井県福井市西市布町３１−８,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_151223,35.964347,136.393485,-
八幡神社（はちまんじんじゃ）,福井県福井市神当部町３２−２０,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_151017,35.955755,136.435524,-
八幡神社（はちまんじんじゃ）,福井県福井市南野津又町３７−６,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_150210,35.966904,136.425572,-
日吉神社（ひよしじんじゃ）,福井県福井市和田東町地原６１,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_145040,36.050504,136.248544,-
氷川神社（ひかわじんじゃ）,福井県福井市和田中町高畑１７,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_143436,36.044839,136.248264,-
白山神社（はくさんじんじゃ）,福井県福井市和田中町７９−４６,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_141819,36.041052,136.246901,-
神明社（しんめいしゃ）,福井県福井市和田中町６６ー２４,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_140140,36.043477,136.253673,-
和田八幡宮（わだはちまんぐう）,福井県福井市和田３−１１１３,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_172659,36.049000,136.244477,0776-26-0367
日野神社（ひのじんじゃ）,福井県福井市若杉町６６−１８−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_172433,36.061093,136.190247,-
分神社（わけじんじゃ）,福井県福井市脇三ケ町４０−１８,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_172228,36.017178,136.292366,-
諏訪神社（すわじんじゃ）,福井県福井市寮町４３−１３,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_171309,36.062888,136.270017,-
八幡神社（はちまんじんじゃ）,福井県福井市両橋屋町４１−２３,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_171133,36.142999,136.091921,-
日吉神社（ひよしじんじゃ）,福井県福井市米松１−１−２６,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_170950,36.063938,136.239280,-
八幡神社（はちまんじんじゃ）,福井県福井市四ツ井１−２４−４,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_170815,36.066498,136.238670,-
八幡神社（はちまんじんじゃ）,福井県福井市八幡町３１−３３,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_170537,36.127716,136.143329,-
白山神社（はくさんじんじゃ）,福井県福井市山室町４０−６３,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_170404,36.119181,136.185259,-
山奥神社（やまおくじんじゃ）,福井県福井市山奥町３１−６,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_170136,36.052921,136.206712,-
足羽山招魂社（あすわやましょうこんしゃ）,福井県福井市山奥町６０−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_165850,36.054841,136.206777,-
三社神社（さんしゃじんじゃ）,福井県福井市安原町１６−３９,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_165702,36.013450,136.276580,-
白山神社（はくさんじんじゃ）,福井県福井市安田町２字東垣内１９,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_165345,36.065780,136.154300,-
白山神社（はくさんじんじゃ）,福井県福井市八重巻町２９−３,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_165124,36.105712,136.222820,-
八幡神社（はちまんじんじゃ）,福井県福井市安竹町１５−５３,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_165011,36.097966,136.191596,-
足羽神社（あすわじんじゃ）,福井県福井市門前町１３−４,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_164811,36.049604,136.198454,-
八幡神社（はちまんじんじゃ）,福井県福井市森行町２７−１０,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_164709,35.992924,136.199228,-
白山神社（はくさんじんじゃ）,福井県福井市東森田１−１８０２,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_164415,36.115276,136.252172,-
八幡神社（はちまんじんじゃ）,福井県福井市免鳥町３３−１１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_164302,36.132975,136.074298,-
熊野神社（くまのじんじゃ）,福井県福井市和布町２−２−１４,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_164128,36.129042,136.061867,-
白山神社（はくさんじんじゃ）,福井県福井市宮郷町２−７,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_163935,36.116100,136.084810,-
白山神社（はくさんじんじゃ）,福井県福井市三宅町２４−５６,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_163807,36.149689,136.161516,-
住吉神社（すみよしじんじゃ）,福井県福井市蓑町６−１５,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_163658,36.127776,136.055473,-
八幡神社（はちまんじんじゃ）,福井県福井市南四ツ居１−６−３４,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_161215,36.061471,136.244882,-
大森神社（おおもりじんじゃ）,福井県福井市南山町１０−７,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_154500,36.008172,136.283395,-
八幡神社（はちまんじんじゃ）,福井県福井市南菅生町２０−１４,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_154353,36.106577,136.046398,-
犂神社（からすきじんじゃ）,福井県福井市南江守町６−１０,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_154138,36.030475,136.196483,-
大将軍神社（だいしょうぐんじんじゃ）,福井県福井市三ツ屋町１３−３１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_153941,36.083780,136.189870,-
熊野神社（くまのじんじゃ）,福井県福井市水越１−７０７,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_153832,36.065822,136.189443,-
稲荷神社（いなりじんじゃ）,福井県福井市水切町５１−１０９,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_153553,36.146248,136.143460,-
神明神社（しんめいじんじゃ）,福井県福井市丸山町４４−２,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_153348,36.075959,136.247436,-
気比神社（きいじんじゃ）,福井県福井市三尾野町１９−３８,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_152915,36.001463,136.164898,-
簸川神社（ひかわじんじゃ）,福井県福井市松本２−７−５,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_151542,36.072002,136.228182,-
日吉神社（ひえじんじゃ）,福井県福井市間山町１１−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_151128,36.082565,136.274486,-
白山神社（はくさんじんじゃ）,福井県福井市松本１−２１−１０,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_151018,36.073494,136.230323,-
亀島神社（かめじまじんじゃ）,福井県福井市松蔭町２−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_150730,36.125324,136.051287,-
熊野神社（くまのじんじゃ）,福井県福井市松蔭町２−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_150550,36.124296,136.055310,-
櫻谷神社（さくらだにじんじゃ）,福井県福井市町屋３−２３−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_150334,36.079733,136.226450,-
大己貴神社（おおなむちじんじゃ）,福井県福井市真木町１０７字下穴田１７,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_145951,36.004663,136.200228,-
春日神社（かすがじんじゃ）,福井県福井市前波町１６−４,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_145346,36.017296,136.300642,-
熊野神社（くまのじんじゃ）,福井県福井市舞屋町１０−１４,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_145132,36.032075,136.205008,-
高雄神社（たかおじんじゃ）,福井県福井市本堂町５−１０,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_144942,36.061746,136.133710,-
白山神社（はくさんじんじゃ）,福井県福井市帆谷町３０−１９,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_144724,36.000261,136.233342,-
白山神社（はくさんじんじゃ）,福井県福井市堀ノ宮町７字２７,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_144351,36.079380,136.196915,-
八幡神社（はちまんじんじゃ）,福井県福井市細坂町２９字大坂１１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_141958,36.056427,136.148487,-
冨士神社（ふじじんじゃ）,福井県福井市鉾ケ崎町２４−４,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_141418,36.004190,136.211378,-
神明神社（しんめいじんじゃ）,福井県福井市別畑町１２−７,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_140918,36.017877,136.053993,-
稲荷神社（いなりじんじゃ）,福井県福井市別所町１０−５９,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_140043,36.032940,136.224621,-
